product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
SIA-237973-100G,"NITRATO DE ALUMINIO NONAHIDRATADO, REACT",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-241245-500G,"ACETATO DE SODIO, +99%, REACTIVO A.C.S.",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-243523-100G,"TIN(II) CHLORIDE DIHYDRATE, 98%, A.C.S.",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-270504-2.5L,"HEXANE, FOR HPLC, >=95%",526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-311189-5G,Trifluoressigsaeure Kupfer(II)-salz Hydr,780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-401757-100ML,"TETRAHYDROFURAN ANHYDROUS, 99.9%, INHIBI",480,Solvents for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-452882-100G,"SODIUM BOROHYDRIDE, POWDER, >=98.0%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SUP-47869,"CYANOCOBALAMIN (B12),100MG, NEAT",530,Endogenous Metabolites And Natural Products,Reference Materials (RM),C47,LR2,Chemistry
SIA-524980-25ML,"DIBUTYL PHTHALATE, 99%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-593702-100ML,LITHIUM ALUMINUM HYDRIDE 2.0M IN TETRAHY,774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-791342-25ML,"SILICA, NANOPARTICLE DISPERSION IN WATE&",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-81440-250G,"POLIVINILPIRROLIDONA K-9, POLVO",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-850217-5G,"3,4-DIHYDROXYPHENYLACETIC ACID, 98%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-A7302-100G,AMMONIUM MOLYBDATE TETRAHYDRATE ACS REAG,778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-APOAF-60TST,APOPTOSIS DETECTION KIT,768,Specialty Cell Culture,Cell Biology Reagents,C17,LR4,Biology
SIA-B1253-100G,"BUTYLATED HYDROXYANISOLE, >=98.5%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-B3259-5MG,ACETATO DE BRADIQUININA,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SUP-C-084-1ML,CANNABIDIOL-D3,535,Drugs & Metrological Institutes,Reference Materials (RM),C47,LR2,Chemistry
SIA-C80601-100ML,"EUCALYPTOL, 99%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-C8667-500MG,CHOLESTEROL SIGMA GRADE,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-C9377-5G,CHENODEOXYCHOLIC ACID CRYSTALLINE,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-C9756-1G,CHOLECALCIFEROL CRYSTALLINE,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-D172405-25G,"N,N-DIMETHYL-4-NITROSOANILINE, 97%",790,H & H - Red,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
SIA-E8656-0.5MG,"ENTEROTOXINA TERMOLABIL, SUBUNIDAD B",698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-G5269-10G,D-GLUCURONIC ACID,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-G5502-500G,GUAIACOL,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
