Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
RSMEDEV21,Milliflex Rapid BB remote MD consulting         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074746,MAS-100 Iso MH IQ OQ Printable Protocol        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074755,EZ-Fluo Printable Functionality Testing           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMH0R01,MAS-100 Iso MH inlet base O-ring 1.5x19        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RSMPP0WR1,ReadyStream Power supply unit           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442010001,"Power Supply, 230 / 240 V (EU)        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1442460001,Tri-Clamp Cable Transfer 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454970001,"Contact Bushing 2.5 mm, RCS Standard         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1464920010,TSB + TLHC (Inactivator B.) 58200090-10P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465390200,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
1667030020-CN,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
5712000002,Silicone tubing for pump  d PACKAGING OF        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX6320115,POWER SUPPLY 115V            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MZAAWG101,MICROFIL 100 & EZ PAK AAWG         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA000P2D,Wallerstein Liquid Media Ampoule           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
CNHADV310,STERISECURE STERILITY TESTING DEVICE F/D          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFKIT001JP,EZ-Fluo System Kit (JP)           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQDRIVEM0C,EQUINOX MOTOR OPEN CLOSE DRIVER          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MKHAWG474,"EZFIT Mani w/ 4 bx EZ-Pak, 0,45µ, whi       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EFGSW25IS,EZ FIT Pink Funnel GSWG 250ml Ind        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSTRAINJ21,Assurance GDS e-learning - how to use -       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000021134,ReadyStream® OS Essential service plan          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHVAC1,MAS-100 Iso MH Gemü valve connection         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054585000,Tryptic Soy agar 5 KG          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1171480001,MAS-100 Iso@MH® Control un 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1301100002,REPLACEMENT PAPER ROLL FOR PRINT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
