Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
1466970020,Neutralizer A - Contact-ICR+ 20P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467180020,"ReadyPlate TCBS agar ISO 21872, FDA-BAM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1468070006,Fluid A 500ml -6P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPMATR0,MILLIFLEX RAPID MATROX COMPUTER BOARD          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITMIHE1,"EZFIT MicrofilHead,StainlessSt1 UNIT            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SBSTR00TS,STATOR & ROTOR OUTPUT TRANSMISION SYSTEM         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074789,Milliflex Rapid 2 - Sterility Demo kit        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHTCC0,"MAS-100 Iso MH 1/2"""" TC Gemü valve        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
940000012178,Milliflex Rapid power supply - US         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1012980001,READYCULT COLIFORMS 100 1X20 TESTS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1014920100,L(+)-ARABINOSE FOR MICROBIOLOGY            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1072291000,PROTEOSE PEPTONE FOR MICROBIOLOGY           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1194630001,LCD display only MAS-100 NT 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1323710001,Anaerotest® for microbiology 50 STRIPES          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454330001,"Housing Kit, RCS HFT 1 PC         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1467790006,Fluid K acc. to USP 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPESP5VT,fluoroelastomer Viton O-Ring + Plug          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
BSPMMPI105,Mfx VHP 1 head WS Preventive Maintenance        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPWEIGHT,WEIGHT SUPPORT FOR MILLIFLEX®+           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0WRENCH,TORQUE WRENCH FOR EQUINOX ISOFIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMSYSTMM1,Milliflex Oasis filtration pump           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PMTRAINI21,PyroMAT e-learning - how to use - Italia       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000073874,Maintenance kit for ReadyStream System          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHUSBJ,USB jack for MAS-100 Iso MH         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1002070500,BPLS (Brilliant-green Phenol 500 G          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1004320010,LISTERIA SELECTIVE AGAR SELECTIVE SUPPLE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1093260004,"TRIPOD F/MAS-100, 88-250CM 1 PC          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1194740001,O-Ring for MAS-100 fan lowpart 24x2.0 x8        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XI2504738,STERILITY TEST MANIFOLD 3 PLACE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITMIC06,EZFIT MANIFOLD 6 PLACE FOR MICROFIL         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAW250B,"EZ-FIT FUNNEL 250ML WHITE MEMB. 0,45µM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
TQPULLKIT,EQUINOX BELT PULLEY KIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMHEADMIC,Mfx Oasis® pump head for Microfil unit        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHSKIT,MAS-100 ISO MH silicone kit          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10045465,"TIMING BELT, PIPETTOR, Y DRIVE          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10043948,"LIGHT BARRIER, FORKED            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1004660500,DRBC agar 500 G           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1301240100,ATP STANDARD 1 NG/ML 100 VIALS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454020001,Motor (S/N >25000) 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1462830100,Tryptic Soy Broth w. LTHTh 373R-100P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463420006,Tryptic Soy Broth 750ml 502750SD-6P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX2504705,"STAINLESS STEEL HOSE CONNECTOR 1/4"" NPTM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPESP5EP,EPDM O-Ring + Plug Seal Kit 5/PK        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SC1M033V00,Fisherbrand Manifold PVC 3-place           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
BVHAWG1LM,Beviflex units HAWG+ liquid cassette          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0HEADMT,PUMP HEAD MOTOR + PCB DRIVER         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0LFHFAN,LFH FAN             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQISLUPPL,ISL UPPER PLATE            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITEFUN3,MANIFOLD 3-PLACE FOR EZ-FIT FILTR. UNITS         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RDYCABLCN,READYSTREAM® POWER CORD CN           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PMMEDEV21,PyroMAT remote MD consulting           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78122,Front Bezel Assembly            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
940000012173,Milliflex Rapid power supply - DK         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TH1HAWG047S6R,HAWG047S6R              ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1091910001,MAS-100 NT 1 UNIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464700010,Fluid A acc. USP Septum 579100D-10P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZV000010,Steridilutor® NEO W/O EXP CHAMB VIAL         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX6370005,UV STERILIZER 220V 50HZ           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCM0T0R1,ENGINE + COUPLING            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBMRTRDRV,ELECTRONIC DRIVER FOR ROTOR MOTOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBSYV01,STERITEST SYRINGE SUPPORT VALVE KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1468200018,TSA LTHThio sedi. ICR 15 cm         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MATFSL1,NEP Control FSL1            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMGAUGEMM,Milliflex Oasis vacuum gauge           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM00100001652,"UPGRADE KIT, ALL IN ONE PC         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78500,LCD Assembly             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10044975,"MOTOR, Y, W/O ENCODER AND GEARWHEEL         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10043854,"BOX, STEPPER MOTOR, INCUBATOR, TOP, 2-PS         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
0120635-4X3L,Maximum Recovery Diluent in bags          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1022450500,CASEIN HYDROLYSATE (ACID HYDROLYZED) FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1038670500,DHL (Deoxycholate Hydrogen s 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1072129025,PEPTONE FROM SOYMEAL PAPAIC-DIGESTED FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1461610120,ReadyPlate DG18 agar ISO 21527          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXHAWG1LS,MILLIFLEX 100ML HAWG + LIQUID CASSETTES         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPC0VER,Milliflex Rapid Cover for vial holder         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZHAWG504,EZ-PAK HAWG DIAMETER 50MM Q600          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBFPMSTD11,Symbio Flex OS Prev Maint w/o contract        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBLFH01,STERITEST SYMBIO LFH PUMP 2 M         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MAMHA4VP1,MAS-100 ISO MH validation protocol (A4)         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MM2PA4VP1,MFX OASIS CUSTOMER VALIDATION PROTOCOL          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAW100M3,EZ FIT Blue Funnel HAWG 100ml multi-pack        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10044520,"LIGHT BARRIER, 430MM, NATURE           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1070040500,OXFORD LISTERIA SELECTIVE AGAR (BASE) FO         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1172780001,HEPA H13 filter 74 mm for MA 1 PC      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1173160001,RapidMicroBio Perforated Lid 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1451020001,Silicon O-Ring 2-021 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1460500120,TSA w. LT - ICR 30ml 030828E-120P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464610010,MacConkey B. acc. EP/USP/JP 526100-10P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0RTSENS,position rotor sensor            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQRSKIT00,EQUINOX ROTOR STATOR KIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GEMUVALVE,GEMÜ - VALVE (AU44)           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074351,Milliflex Oasis pump upgrade kit          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074754,Mfx Oasis VHP IQ OQ e-Protocol         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMH0R03,MAS Iso MH decont outlet O-ring 2x15        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1000430500,TOS-AGAR 500 G            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1014065000,VRB agar 5 KG           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054500500,Nutrient agar 500 G           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1083421000,D(+)GLUCOSE MONOHYDRT 1KG 1 KG          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1133110001,CULTURA MINI INCUBATOR (220 V) FOR MICRO        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1460730120,XLD Agar - LI EP+USP 30ml 0152E-120P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464880006,Fluid A acc. USP 579500SD-6P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
73294-SIAL,mEHEC 15.8 g Media Scoop          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MIHCWG100,"MICROFIL 100 ML HCWG + S-PAK, Q150        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
TSMEDEV01,Sterility Testing Method Development-Std           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQDRAW01,MILLIFLEX QUANTUM DRAWER FOR READER          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ETP2CASTD,Ergo T. Pro 2 Case Std & Bat. Cover      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
FL0SENCAB,FLOW SENSOR CABLE            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MPI3PMSTD15,Mfx VHP 3 hd OS verif w/o service plan      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MCGEXM0XC,Male coupling only            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASEXPJAW,Clamp black for Petridish MAS-100 NT Ex        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM00100000597,DISTRIBUTOR DISPENSE PUMPS            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM10045410,"ASSY., PCB, Y/Z            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAW250BC,"EZ-FIT FUNNEL 250ML WHITE MEMB. 0,45µM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RSMPMPCB1,ReadyStream Media Prep PCB           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1005500500,TRYPTIC SOY BROTH (CASO) NON ANIMAL ORIG        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1070431000,UNIVERSAL PEPTONE M 66 FOR MICROBIOLOGY         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1119720500,TSC ) agar (base) 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5553600001,Bag Holder DiluCult & DiluCu 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5553640001,Dispensing Tubing DiluCult & 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBC0MHBFT,COMMUNICATION HUB FEET            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMDECTKIT,Oasis sanitization maintenance kit           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMGSWG124STARTK,Milliflex Oasis® MMGSWG124 starting kit          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASI0T00L,Digital I/O Test Tool           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1038550500,"SIMMONS"" citrate agar acc. I 500 G        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1092240001,TUBE-ADAPTER FOR MAS 100 AIRSAMPLER          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1440220020,Contact Slides TC-y 20 UNITS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463930006,Sab. Dextrose -0.04 A. acc EP 548200-6P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1466130006,NaCl Peptone Broth 593250-6P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQSEAL01,MILLIFLEX QUANTUM MEMBRANE TRANSFER.           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPSPL001,SUPPLY SET FOR 1 MILLIFLEX PLUS PU        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPSCREW,MFX RAPID SPRAYER SCREW KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBXTC01,ST SYMBIO TC EXTENSION CABLE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHDIST,Distance piece valve unit MAS-100 Iso MH        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07620123005,"MODULE, WASHER W/O PUMPS           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1073240500,Tryptic Soy Agar NutriSelec 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1173180001,RapidMicroBio Perforated Lid 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467290020,Malt Extract Agar with Cm 20P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPCCD01,MILLIFLEX RAPID CCD CAMERA           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXSMCSD48,MILLIFLEX AGAR CASSETTE (SDA)           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPNEBCL,Syringe for glass nebulizer cleaning          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSMEDEV02,Steriltiy Testing Method Developmen           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFREAD01EU,EZ-Fluo reader kit (EU power cable)         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ00MEKNB,EQUINOX KNOB MECHANICAL PART           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBSEALGBX,SPEED REDUCERS SEALS KIT FOR SYMBIO         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBISL01BR,STERITEST SYMBIO ISL 2 MED BR         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
KWEFHAW25B,"EZFam kit w/ 4 bx EZFIT, 250ml, blk       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MASVFPCB4,MAS100 VF main PCB complete          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074099,M-Trace™ On-Site Installation Service           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMHCABU,Cable bushing incl. seal MAS-100 Iso MH        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78074,Battery Door Screw            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1170840001,MAS-100 Iso NT® Silicone Ga 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442440040,Agar Strips SDX-y 40 UNITS          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1460730020,HEIMPLATE™ XLD Agar EP + USP         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464890012,Fluid A acc. USP Septum -12P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465020001,Rack for contact plates 63140-1P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467020120,SDA +LTHTh-ICR+ 90mm -120P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MSSM25001,SOLID MEDIA MILLISNAP ADAPTER (250mL)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA000P20,Orange Serum Liquid Media Ampoule          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MIAABG100,"MICROFIL 100 ML AAWG + S-PAK, Q150        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
REMRACK01,REMOVAL RACK HARDWARE            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQTH0USI,Housing              ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQWIR100,LED PCB wire (length 100 mm)         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFKIT001SZ,"EZ Fluo reader, camera and SZ power cord       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQTVAL0D,MILLIFLEX QUANTUM OLD VALVE KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MAMHVAL11,MAS-100 Iso MH on-site IQ/OQ service         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ASPMMEX104,MAS-100 NT Ex OS Total Service Plan        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSTRAING21,Assurance GDS e-learning - how to use -       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MCTRAINF21,MC Media Pad e-learning - how to use - F     ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000021374,Milliflex Oasis e-Functionality Testing           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMGASKTSK,Milliflex Oasis sanitization gasket kit          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78066,Rear Case Mounting Screw           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RSMPLEDBD,ReadyStream Led Board            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
940000010663,MAS-100 Atmos Tube support           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1171740001,MAS-100 Iso MH® Control u 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
76173-SIAL,"Buffer pH 7 Yellow, MVP ICON pH Probe       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MXQP0WUS1,US POWER SUPPLY F/MILLIFLEX QUANTUM READ         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSPMTVL11,Service Plan Travel zone 1          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPHEADSU,HEAD SUPPORT FOR MILLIFLEX®+           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFITEXTE1,EZFIT MANIFOLD HEIGHT EXTENSION 1 UNIT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBDTF01,ST SYMBIO DRAIN TRAY FLE LI 2        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAB100M3,EZ FIT Blue Funnel HABG 100ml multi-pack        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074392,Standard Door Assy for MXRDP2DT00          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMHAWG224,"Mfx Oasis funnel, MCE white 0.45µm 250mL        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07620517400,"PCB, Y-SLEDGE             ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78553,Rear Case Assembly            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79163,"ASSY,PIPETMAX 268 X-MOTOR            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9019339,"LED, GREEN (530), RGQ           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1116990500,DIFFERENTIAL REINFORCED CLOSTRIDIAL BROT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1155250001,RINGER TABLETS FOR THE PREPARATION OF RI        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1205890500,PEMBA agar 500 G           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1461410020,NaCl-Pept-B. 9.9ml blue EP 1935R-20P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1466280006,Isopropylmyristate -6P IRRAD.            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
73295-SIAL,mEHEC 47.4 g Media Scoop          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
78007-SIAL,MVP ICON Battery Assy (for 78002 ICON)        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQHEADRED,PUMP HEAD REDUCER            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MYSK10025,Yeast and Mold Swab Test Kit 25/pk        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MSGLASS01,MILLISNAP SYSTEM DOOR (PROTECTIVE GLASS)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SENTEM0RI,O-Ring Sensirion temp/humid sensor x8          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MVP78165,Top Frame Assembly            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1004450500,UNIVERSAL BEER AGAR FOR MICROBIOLOGY          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1053945000,EE MOSSEL broth acc. ISO 5 KG        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1139190500,XLT4 AGAR (BASE) FOR MICROBIOLOGY ( 59 G       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1460500020,TSA w. LT - ICR 30ml 030828E-20P        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1462200100,Thioglycollate Med. acc. EP 2171R-100P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464190006,Buff. NaCl-Pept. Sol. acc EP 514200-6P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1465190001,Rack for sedimentation pl. 63141-1P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
HAWG047S6,0.45um White Gridded S-Pak 47mm 600pk         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPSITU48,MFX+ / SILICONE TUBING 4X8/1 (LENGT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPFHUVHP,MILLIFLEX FLUIDIC HUB VHP COMPATIBLE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
QSVALID11,On-Site IQ/OQ Service Milliflex Quantum          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFHEAD01,MILLIFLEX HEAD FOR EZFIT FILTRATION UNIT         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFSI01,STERITEST SYMBIO FLAT SEAL ISL          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXHVWP224,"MILLIFLEX FUNNEL 0.45UM, 250ML, PVDF          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SB3R0LLRT,SYMBIO PUMPS 3 MEDIA KIT 3 ROLLERS        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MIMHCAVA1,CABLE VALVE MAS-100ISO MH 600MM          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000019359,ReadyStream® complete system incl reader          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASRADFAN,EC Radial Fan (8 lids) M22         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSREQUAL12,Steritest pump Advanced Requalification           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM00100001400,"MODULE, READER             ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RSMPFL0W1,ReadyStream flowmeter kit with tubing          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
940000010671,MAS-100 Atmos housing            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1002130500,SMAC-Agar 500 G            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1043240500,Plate Count Agar halal acc. 500 G        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1087205000,"THIOGLCOLATE BROTH NON ANIMAL, IRRADIATE          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1301040001,RINSE SOLUTION 50 TESTS           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441110100,Cover Slides 100 UNITS           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467700150,ReadyPlate 55 KIT m-Green Agar          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQBELTKIT,BELT KIT             ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MHA000P2T,Tryptone Glucose Extract Broth - Ampoule         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
CNHALA210,STERILITY TESTING DEVICE F/ AMPOULE          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX631K000,"Single Inc Lab Kit, 115V          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM03970000009,"BOTTLE, SQUARE, PP, 1000 mL, W/ CAP        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07620514500,"PCB, X-SLEDGE             ",BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07630295000,"SET, CLEANING, WASHER            ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1040390001,UVM II SUPPLEMENT FOR MICROBIOLOGY (1 VI        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1052720500,ANTIBIOTIC AGAR NO. 1 GROVE AND RANDALL        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1052860500,MEMBRANE-FILTER RINSE FLUID (USP) FOR MI         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1093260001,"TRIPOD F/MAS-100, 88-250CM 1 UNIT          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1097840001,MAS-100 Iso@MH® Power Supply 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1441840002,Calibration APC Portable Instruments           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1442560001,Docking Station 1 PC           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1452550001,"Battery Lithium-ion, RCS High Flow Touch         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1460480120,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
