Record Id,Account Segmentation Name,Account Segmentation Owner.id,Account Segmentation Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Tag,Unsubscribed Mode,Unsubscribed Time,Is Uni?,Department (ภาควิชา),Faculty (คณะ),Products,Account Code,Original Account Record.id,Original Account Record,Note,Business Sector,Activities,Secondary Industry,Primary Industry,Locked,Website,Winspeed CUSTID,Connected To.module,Connected To.id
zcrm_4312195000052814301,มหาวิทยาลัยมหิดล ศูนย์สัตว์ทดลองแห่งชาติ,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:27:03,2023-03-16 14:27:03,THB,,,,true,,ศูนย์สัตว์ทดลอง,,ZH-MU-NLAC,zcrm_4312195000012355892,ศูนย์สัตว์ทดลองแห่งชาติ มหาวิทยาลัยมหิดล,,ราชการ,,,University,false,,150142,,
zcrm_4312195000052814302,มหาวิทยาลัยราชภัฎบ้านสมเด็จเจ้าพระยา,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:27:03,2023-03-16 14:27:03,THB,,,,true,,,,ZH-RI-BS,zcrm_4312195000012355891,มหาวิทยาลัยราชภัฎบ้านสมเด็จเจ้าพระยา,,ราชการ,,,University,false,,150141,,
zcrm_4312195000052814303,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (EPOXY DIVISION),zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-ADIYA,zcrm_4312195000012355890,บริษัท อดิตยา เบอร์ล่า เคมีคัลส์ (ประเทศไทย) จำกัด,epoxy resin,เอกชน,Manufacturing,Resin,Chemical manufacturer,false,,150140,,
zcrm_4312195000052814304,"ADEKA FINE CHEMICAL (THAILAND) CO., LTD. (Head Office)",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-ADEKA,zcrm_4312195000012355889,"ADEKA FINE CHEMICAL (THAILAND) CO., LTD. (Head Office)","polymers additives, pvc, surface, commodity chemicals",เอกชน,Manufacturing,Polymer,Chemical manufacturer,false,,150139,,
zcrm_4312195000052814305,Almendra (Thailand) Ltd.,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-ALMEN,zcrm_4312195000012355888,Almendra (Thailand) Ltd.,สารทดแทนความหวาน,เอกชน,Manufacturing,,Chemical manufacturer,false,,150138,,
zcrm_4312195000052814306,บริษัท แอมสเปค (ประเทศไทย) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Petroleum,ZH-AMSPE,zcrm_4312195000012355887,บริษัท แอมสเปค (ประเทศไทย) จำกัด,วิเคราะห์ผลิตภัณฑ์ปิโครเลียม,เอกชน,Lab Service,,Lab service,false,,150137,,
zcrm_4312195000052814307,Star Petroleum Refining Public Company Limited,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SPRC,zcrm_4312195000012355886,Star Petroleum Refining Public Company Limited,กลั่นน้ำมัน,เอกชน,"Petroleum extraction, refinery",,Petroleum,false,,150136,,
zcrm_4312195000052814308,"Bader (Asia) Co., Ltd.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Leather,ZH-BADER,zcrm_4312195000012355885,"Bader (Asia) Co., Ltd.",เครื่องหนัง,เอกชน,Manufacturing,,Consumer Goods,false,,150135,,
zcrm_4312195000052814309,"BANGKOK SYNTHETICS CO.,LTD.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-BST,zcrm_4312195000012355884,"BANGKOK SYNTHETICS CO.,LTD.",ถุงมือ,เอกชน,,,Manufacturing,false,,150134,,
zcrm_4312195000052814310,"BT Lab Instrument And Supply Co., Ltd.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Scientific Instrument,ZH-BTLAB,zcrm_4312195000012355883,"BT Lab Instrument And Supply Co., Ltd.",เครื่องมือแล็บ,เอกชน,Distribution,,Scientific Distributor,false,,150133,,
zcrm_4312195000052814311,บริษัท บิวตี้ บีซู่ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-BUTY,zcrm_4312195000012355882,บริษัท บิวตี้ บีซู่ จำกัด,อัญมณี,เอกชน,,,Jewelry,false,,150132,,
zcrm_4312195000052814312,CARBIDE CHEMICAL (THAILAND) LTD.,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-DOW-CT2,zcrm_4312195000012355880,CARBIDE CHEMICAL (THAILAND) LTD.,organic chemical,เอกชน,Manufacturing,Organic,Chemical manufacturer,false,,150130,,
zcrm_4312195000052814313,"COFCO Biochemical (Thailand) CO.,LTD.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-COFCO,zcrm_4312195000012355879,"COFCO Biochemical (Thailand) CO.,LTD.",citric acid,เอกชน,Manufacturing,,Chemical manufacturer,false,,150129,,
zcrm_4312195000052814314,บริษัท ซีพี ฟู้ดแล็บ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-CPRAM,zcrm_4312195000012355878,บริษัท ซีพี ฟู้ดแล็บ จำกัด,วิจัยและวิเคราะห์,เอกชน,Lab Service,,Lab service,false,,150128,,
zcrm_4312195000052814315,บริษัท ซันโย กาเซ (ไทยแลนด์) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-SANYO,zcrm_4312195000012355877,บริษัท ซันโย กาเซ (ไทยแลนด์) จำกัด,Inorganic chemistrty,เอกชน,Manufacturing,Inorganic,Chemical manufacturer,false,,150127,,
zcrm_4312195000052814316,บริษัท โดล ไทยแลนด์ จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-DOLE,zcrm_4312195000012355876,บริษัท โดล ไทยแลนด์ จำกัด,ส่งออกผลไม้,เอกชน,Manufacturing,Fruits,Food and Beverage,false,,150126,,
zcrm_4312195000052814317,Dow Chemical Thailand Ltd.,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-DOW,zcrm_4312195000012355875,Dow Chemical Thailand Ltd.,"Polyethylene, Elastomers, Polyurethanes, Coating",เอกชน,Manufacturing,Polymer,Chemical manufacturer,false,,150125,,
zcrm_4312195000052814318,บริษัท เอ็กซ์สตาร์ เอเชีย คอร์ปอเรชั่น จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-EXSTAR,zcrm_4312195000012355874,บริษัท เอ็กซ์สตาร์ เอเชีย คอร์ปอเรชั่น จำกัด,น้ำมันหล่อลื่น (Lubricant),เอกชน,Manufacturing,Lubricant,Chemical manufacturer,false,,150124,,
zcrm_4312195000052814319,บริษัท เอ็กโก เอ็นจิเนียริ่ง แอนด์ เซอร์วิส จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-EGCO,zcrm_4312195000012355873,บริษัท เอ็กโก เอ็นจิเนียริ่ง แอนด์ เซอร์วิส จำกัด,ซ่อมเครื่องจักรกล,เอกชน,,Maintenance,Commercial & Professional Services,false,,150123,,
zcrm_4312195000052814320,บริษัท อินทรี อีโคไซเคิล จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-INSEE,zcrm_4312195000012355872,บริษัท อินทรี อีโคไซเคิล จำกัด,กำจัดของเสีย,เอกชน,,,Waste management,false,,150122,,
zcrm_4312195000052814321,ศูนย์พัฒนาวิชาการอาชีวอนามัยและสิ่งแวดล้อม จังหวัดระยอง,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-ENVOC,zcrm_4312195000012355871,ศูนย์พัฒนาวิชาการอาชีวอนามัยและสิ่งแวดล้อม จังหวัดระยอง,,เอกชน,,,School,false,,150121,,
zcrm_4312195000052814322,Thai Ethoxylate Company Limited.,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-THTEX,zcrm_4312195000012355870,บริษัท ไทย อีทอกซีเลท จำกัด,fatty alcohol ethoxylated,เอกชน,Manufacturing,,Chemical manufacturer,false,,150120,,
zcrm_4312195000052814323,ศูนย์วิจัยและพัฒนาสิ่งแวดล้อมโรงงานภาคตะวันออก,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Environment,ZH-DIW-ET,zcrm_4312195000012355869,ผู้อำนวยการศูนย์วิจัยและพัฒนาสิ่งแวดล้อมโรงงวานภาคตะวันออก,,เอกชน,R&D,,Research center,false,,150119,,
zcrm_4312195000052814324,"FREYABADI (THAILAND) CO.,LTD",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-FREYA,zcrm_4312195000012355868,"FREYABADI (THAILAND) CO.,LTD",chocolate,เอกชน,Manufacturing,,Food and Beverage,false,,150118,,
zcrm_4312195000052814325,"Fuji oil (Thailand) co.,Ltd.",zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,,ZH-FUJI,zcrm_4312195000012355867,"Fuji oil (Thailand) co.,Ltd.",oils and fat for bakery,เอกชน,Manufacturing,,Food and Beverage,false,,150117,,
zcrm_4312195000052814326,บริษัท ฟิชเชอร์แอนด์พายเคิล แอพพลายแอนเซส (ไทยแลนด์) จำกัด,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,zcrm_4312195000000245013,Chemical Express SuperAdmin,2023-03-16 14:22:24,2023-03-16 14:22:24,,THB,,,,false,,,Electrical appliances,ZH-FISPAY,zcrm_4312195000012355866,บริษัท ฟิชเชอร์แอนด์พายเคิล แอพพลายแอนเซส (ไทยแลนด์) จำกัด,เครื่องใช้ไฟฟ้า,เอกชน,Manufacturing,,Consumer Goods,false,,150116,,
